elec_atoll,elec_island,elec_population_2018,elec_production_kwh,elec_capacity_kw,match_quality,match_score,master_island_name,master_atoll,master_pcode,master_pop_2022,human_verified,correct_master_match,notes
SEENU ATOLL,ADDU,17935.0,33076784.25,9850.0,RESOLVED-AGGREGATE,1.0,Hithadhoo,Seenu,MV019002,13759,YES,YES,"AGGREGATE: ADDU = Addu City = all 6 Seenu islands (Hithadhoo+Feydhoo+Maradhoo+Meedhoo+Maradhoofeydhoo+Hulhudhoo). Split production proportional to population. Hithadhoo is primary (largest pop 13,759)."
GAAFU ALIF ATOLL,KON'DEY,220.0,351286.05,248.0,RESOLVED-ADDED,1.0,Kon'dey,Gaafu Alifu,MV016007,272,YES,YES,"Added Kon'dey to islands_master.csv. Pop 272 (Census 2014). Coords 0.4986N 73.5486E. Area 1.51 km2."
RAA ATOLL,UN'GOOFAARU,1503.0,2904845.0,1370.0,RESOLVED-ADDED,1.0,Un'goofaaru,Raa,MV006004,1754,YES,YES,"Added Un'goofaaru to islands_master.csv. Pop 1,754 (Census 2022). Raa atoll capital. Coords 5.6681N 73.0306E. Area 0.35 km2."
RAA ATOLL,AN'GOLHITHEEMU,400.0,349511.0,409.0,RESOLVED-ADDED,1.0,An'golhitheemu,Raa,MV006006,403,YES,YES,"Added An'golhitheemu to islands_master.csv. Pop 403 (Census 2014). Coords 5.7936N 73.0062E. Area 0.34 km2."
NOONU ATOLL,KEN'DHIKULHUDHOO,1331.0,1311141.19,580.0,RESOLVED-ADDED,1.0,Ken'dhikulhudhoo,Noonu,MV004002,1331,YES,YES,"Added Ken'dhikulhudhoo to islands_master.csv. Pop 1,331 (elec data 2018). Coords 5.9194N 73.0500E (GeoHack). Area 0.70 km2 (est)."
NOONU ATOLL,FODHDHOO,228.0,282765.45,148.0,RESOLVED-ADDED,1.0,Fodhdhoo,Noonu,MV004012,345,YES,YES,"Added Fodhdhoo to islands_master.csv. Pop 345 (Census 2022). Coords 5.7439N 73.2161E. Area 0.34 km2."
HAA ALIF ATOLL,HOARAFUSHI,1826.0,2341956.45,1000.0,RESOLVED-ADDED,1.0,Hoarafushi,Haa Alifu,MV001006,3561,YES,YES,"Added Hoarafushi to islands_master.csv. Pop 3,561 (Census 2022). Coords 6.9806N 72.8958E. Area 1.05 km2."
KAAFU ATOLL,VILLIMAL,7790.0,12499400.0,4000.0,HIGH (annotated),0.588,Vilin'gili,Male,MV021002,6755,AUTO-CERTAIN,YES,"Vilimalé / Villingili (Male atoll). Pop 7,790 (2018) → 6,755 (2022). 4 MW capacity, 12.5 GWh. Elec name 'VILLIMAL' is local abbreviation of Vilimalé. CERTAIN match."
KAAFU ATOLL,MAL,127079.0,336961612.0,80320.0,HIGH (annotated),0.75,Maale,Male,MV021001,138637,AUTO-CERTAIN,YES,"Malé city. Elec name truncated. Largest load centre (337 GWh, 80 MW). Pop 127k (2018) → 139k (2022). CERTAIN match."
RAA ATOLL,IN’GURAIDHOO,1223.0,1219439.55,2013.0,HIGH (diff atoll),0.857,Guraidhoo,Kaafu,MV009009,1743,,,
ALIFU ALIFU ATOLL,HIMANDHOO,703.0,897851.0,612.0,HIGH (diff atoll),0.875,Mandhoo,Alifu Dhaalu,MV020005,418,,,
KAAFU ATOLL,HULHUMAL,15769.0,51270714.0,17400.0,HIGH (diff atoll),0.889,Hulhumaale,Male,MV021003,65714,,,
KAAFU ATOLL,HIMMAFUSHI,1308.0,2598215.0,1240.0,HIGH,0.9,Hinmafushi,Kaafu,MV009006,2012,,,
