Island_Name,Atoll,Atoll_Code,PCode,Pop,Area_km2,X_deg,Y_deg,GHI_GSA,TEMP_GSA
Thoddoo,Alifu Alifu,AA,MV008001,1924,1.608,72.959634,4.437216,5.5437,29.2
Ukulhas,Alifu Alifu,AA,MV008003,1284,0.235,72.864255,4.215059,5.5532,29.2
Rasdhoo,Alifu Alifu,AA,MV008002,1282,0.216,72.99185,4.263065,5.5495,29.19
Mathiveri,Alifu Alifu,AA,MV008004,878,0.228,72.746255,4.191863,5.5652,29.19
Bodufolhudhoo,Alifu Alifu,AA,MV008005,704,0.123,72.773394,4.185632,5.5574,29.2
Feridhoo,Alifu Alifu,AA,MV008006,544,0.446,72.725628,4.051064,5.563,29.19
Maalhos,Alifu Alifu,AA,MV008007,516,0.321,72.719436,3.986338,5.5645,29.19
Maamin'gili,Alifu Dhaalu,Adh,MV020010,2798,2.185,72.834905,3.473995,5.5508,29.17
Mahibadhoo,Alifu Dhaalu,Adh,MV020004,2580,0.233,72.969036,3.757223,5.5665,29.18
Fenfushi,Alifu Dhaalu,Adh,MV020008,1000,0.254,72.783729,3.489406,5.5765,29.17
Dhan'gethi,Alifu Dhaalu,Adh,MV020006,936,0.298,72.95585,3.607662,5.5677,29.17
Omadhoo,Alifu Dhaalu,Adh,MV020002,913,0.226,72.962487,3.791585,5.5645,29.18
Dhigurah,Alifu Dhaalu,Adh,MV020007,761,0.545,72.925805,3.530299,5.5651,29.13
Hangnaameedhoo,Alifu Dhaalu,Adh,MV020001,484,0.201,72.955264,3.84924,5.5658,29.18
Mandhoo,Alifu Dhaalu,Adh,MV020005,418,0.381,72.709563,3.697795,5.5834,29.18
Dhihdhoo,Alifu Dhaalu,Adh,MV020009,141,0.201,72.877852,3.48413,5.5592,29.17
Eydhafushi,Baa,B,MV007008,2581,0.555,73.070641,5.1026,5.5392,29.22
Thulhaadhoo,Baa,B,MV007009,1625,0.452,72.841177,5.021794,5.563,29.23
Kendhoo,Baa,B,MV007003,1002,0.187,73.010167,5.275379,5.5376,29.23
Dharavandhoo,Baa,B,MV007006,997,0.664,73.131026,5.15729,5.5377,29.22
Hithaadhoo,Baa,B,MV007010,744,0.313,72.922974,5.007197,5.544,29.22
Goidhoo,Baa,B,MV007013,583,1.607,72.998897,4.873078,5.531,29.19
Maalhos,Baa,B,MV007007,572,0.254,73.107887,5.134612,5.536,29.22
Kudarikilu,Baa,B,MV007001,557,0.186,73.070884,5.300395,5.5371,29.1
Kamadhoo,Baa,B,MV007002,552,0.21,73.136912,5.281931,5.5347,29.22
Kihaadhoo,Baa,B,MV007004,481,0.303,73.125054,5.215063,5.539,29.22
Dhonfanu,Baa,B,MV007005,398,0.17,73.122851,5.187852,5.541,29.23
Fulhadhoo,Baa,B,MV007011,341,0.289,72.932984,4.884884,5.5456,29.23
Fehendhoo,Baa,B,MV007012,198,0.248,72.969603,4.881569,5.5386,29.22
Kudahuvadhoo,Dhaalu,Dh,MV012008,3131,1.641,72.890248,2.669629,5.5683,29.16
Meedhoo,Dhaalu,Dh,MV012001,1118,0.322,73.007406,2.998105,5.5842,29.16
Hulhudheli,Dhaalu,Dh,MV012004,764,0.213,72.846339,2.858471,5.5896,29.16
Maaen'boodhoo,Dhaalu,Dh,MV012007,679,0.238,72.963539,2.695765,5.5704,29.16
Nilandhoo,Faafu,F,MV011005,1823,0.736,72.888982,3.056893,5.5792,29.16
Bileiydhoo,Faafu,F,MV011002,967,0.313,72.98413,3.11835,5.582,29.16
Feeali,Faafu,F,MV011001,922,0.175,73.001986,3.269984,5.5764,29.17
Magoodhoo,Faafu,F,MV011003,702,0.244,72.963883,3.078899,5.5789,29.16
Dharan'boodhoo,Faafu,F,MV011004,455,0.397,72.925987,3.062874,5.5791,29.15
Vilin'gili,Gaafu Alifu,GA,MV016002,2900,1.104,73.435367,0.756508,5.5682,29.13
Gemanafushi,Gaafu Alifu,GA,MV016009,1318,0.564,73.568291,0.442663,5.5558,29.08
Maamendhoo,Gaafu Alifu,GA,MV016003,1201,0.516,73.439167,0.714213,5.5653,29.15
Dhaandhoo,Gaafu Alifu,GA,MV016005,1044,0.313,73.461255,0.620922,5.5659,29.17
Kolamaafushi,Gaafu Alifu,GA,MV016001,636,0.351,73.184379,0.837793,5.5831,29.12
Kan'duhulhudhoo,Gaafu Alifu,GA,MV016010,619,0.321,73.539642,0.351147,5.5556,29.17
Dhevvadhoo,Gaafu Alifu,GA,MV016006,599,0.231,73.242164,0.557071,5.595,29.16
Nilandhoo,Gaafu Alifu,GA,MV016004,545,0.608,73.446462,0.636245,5.5635,29.17
Kodeyvilin'gili,Gaafu Alifu,GA,MV016052,328,0.052,73.542142,0.51376,5.5717,29.13
Thinadhoo,Gaafu Dhaalu,GDh,MV017010,6217,1.835,72.997388,0.532485,5.5863,29.14
Madaveli,Gaafu Dhaalu,GDh,MV017001,1219,0.466,72.998647,0.458591,5.5771,29.1
Hoadehdhoo,Gaafu Dhaalu,GDh,MV017002,885,1.101,73.003614,0.444764,5.5765,29.11
Faresmaathodaa,Gaafu Dhaalu,GDh,MV017008,858,0.484,73.18709,0.199838,5.5618,29.17
Fiyoari,Gaafu Dhaalu,GDh,MV017007,637,0.802,73.136496,0.221621,5.5807,29.08
Nadellaa,Gaafu Dhaalu,GDh,MV017003,581,0.453,73.040646,0.293394,5.5763,29.11
Vaadhoo,Gaafu Dhaalu,GDh,MV017006,516,1.924,73.273634,0.22737,5.5784,29.12
Rathafandhoo,Gaafu Dhaalu,GDh,MV017005,431,0.407,73.104592,0.252654,5.579,29.15
Fuvahmulah,Gnaviyani,Gn,MV018001,9177,4.917,73.424744,-0.295699,5.5818,29.13
Dhihdhoo,Haa Alifu,HA,MV001010,3412,0.945,73.111158,6.888799,5.5021,29.26
Ihavandhoo,Haa Alifu,HA,MV001007,2873,0.613,72.926205,6.953048,5.4876,29.23
Baarah,Haa Alifu,HA,MV001016,1141,2.448,73.20908,6.816403,5.4849,29.22
Kelaa,Haa Alifu,HA,MV001008,1115,1.991,73.216153,6.954771,5.4789,29.23
Maarandhoo,Haa Alifu,HA,MV001012,668,0.437,72.984198,6.852627,5.505,29.23
Utheemu,Haa Alifu,HA,MV001014,612,0.49,73.112703,6.834831,5.491,29.23
Filladhoo,Haa Alifu,HA,MV001011,559,2.605,73.230147,6.889194,5.4773,29.21
Muraidhoo,Haa Alifu,HA,MV001015,534,0.465,73.167273,6.837962,5.4811,29.24
Vashafaru,Haa Alifu,HA,MV001009,476,0.349,73.160807,6.897463,5.4804,29.26
Thuraakunu,Haa Alifu,HA,MV001001,427,0.256,72.899306,7.104315,5.4874,29.26
