Atoll,Island,Population,Area_km2,Distance_from_Male_km,Nearest_Airport,Electricity_Provider,Peak_Load_Time,Maximum_Peak_Load_kW,Total_Installed_Capacity_kW,Total_Generator_Sets_kW,Monthly_Average_Usage_kWh,Yearly_Electricity_Production_kWh,Yearly_Billed_Amount_kW,Yearly_Oil_Consumption_Liters,Lube_Oil_Consumption_L_per_year,Solar_PV_Installed_kW,Solar_PV_Production_kWh,Synchronizing_Panel,Synchronizing_Panel_Type,Electricity_Cable_Installed_Year,Distribution_Cable_Size_mm2,CO2_Emissions_tCO2
HAA ALIF ATOLL,BAARAH,1091,2.60,294.7,Hanimaadhoo International Airport,FENAKA,12:00,211,738,"68,120,250,300","83,446.62","1,001,359.40","86,486.00","340,042.00","1,857.20",,-,Yes,Auto,2008,"35, 50, 70, 95",905.33
HAA ALIF ATOLL,DHIDHDHOO,2745,0.60,305.00,Hanimaadhoo International Airport,FENAKA,13:00,816,1508,"400,508,600","327,703.01","3,932,436.15","350,169.00","1,122,922.00","4,925.00",,-,Yes,Manual,2003,500,2
HAA ALIF ATOLL,FILLADHOO,576,2.60,301.70,Hanimaadhoo International Airport,FENAKA,12:00,122,300,"60,80,160","45,736.50","548,838.00","45,300.00","185,773.00","1,011.00",,-,Yes,Auto,2008,CO2 emission  (tCO2) 494.6020352,494.6020352
HAA ALIF ATOLL,HOARAFUSHI,1826,0.70,317.10,Hanimaadhoo International Airport,FENAKA,12:30,520,1000,"200,200,600","195,163.04","2,341,956.45","208,412.00","726,135.00","3,609.16",,-,Yes,-,1999,"CO2 emission  (tCO2) 1,933.26",1
HAA ALIF ATOLL,IHAVANDHOO,2554,0.60,314.10,Hanimaadhoo International Airport,FENAKA,12:00,642,1200,"250,350,600","229,550.60","2,754,607.24","359,448.90","838,540.00","3,985.00",,-,Yes,Manual,2007,"CO2 emission  (tCO2) 2,232.53",2
HAA ALIF ATOLL,KELAA,1063,2.00,309.30,Hanimaadhoo International Airport,FENAKA,12:30,241,636,"236,400","102,789.12","1,233,469.40","104,028.00","352,882.00","1,830.00",,-,Yes,Auto,2007,CO2 emission  (tCO2) 939.51,939.51
HAA ALIF ATOLL,MAARANDHOO,668,0.40,303.90,Hanimaadhoo International Airport,FENAKA,12:00,101,250,250,"48,097.22","577,166.60","66,754.00","203,070.00",843.00,,-,No,-,1991,CO2 emission  (tCO2) 540.65,540.65
HAA ALIF ATOLL,MULHADHOO,231,1.20,320.00,Hanimaadhoo International Airport,FENAKA,12:00,65,168,"60,60,48","24,327.92","291,935.00","65,118.89","92,590.00",446.00,,-,No,-,2012,CO2 emission  (tCO2) 246.51,246.51
HAA ALIF ATOLL,MURAIDHOO,464,0.50,298.90,Hanimaadhoo International Airport,FENAKA,12:00,104,270,"120,150","34,286.00","411,432.00","33,923.00","138,560.00",981.00,,-,No,-,1999,CO2 emission  (tCO2) 368.90,368.90
HAA ALIF ATOLL,THAKANDHOO,355,0.40,302.10,Hanimaadhoo International Airport,FENAKA,12:00,70,308,"32,58,68,150","50,912.90","610,954.79","98,622.00","112,063.00",989.00,,-,No,-,2003,CO2 emission  (tCO2) 298.36,298.36
