HelioClim-3 Database of Solar Irradiance v5 (derived from satellite data);;;;;;;
;;;;
Provider;MINES ParisTech / Armines / Transvalor (France);;;;;;;;;;
More information at;http://www.soda-is.com;;;;;;;;;;
Site latitude (positive means North);4.1753;;;;;;;;;;
Site longitude (positive means East);73.5089;;;;;;;;;;
Elevation (m);2;;;;;;;;;;
Take into account the shadows due to relief?;0 (no);;;;;;;;;;
Date beginning;2024-01-01;;;;;;;;;;
Date end;2024-12-31;;;;;;;;;;
Time reference (decimal hour);TU;;;;;;;;;;
Summarization (period of integration);Hour (h);;;;;;;;;;
Date - Instant;The date or instant given for each value corresponds to the end of the summarization;;;;;;;;;;
Irradiance (W/m2);Irradiance averaged over the period (-999 if no data);;;;;;;;;
Lower bound (W/m2);Uncertainty in irradiance. Lower bound;;;;;;;;;;
Upper bound (W/m2);Uncertainty in irradiance. Upper bound;;;;;;;;;;
Code;0: no data; 1: sun below horizon; 2: satellite assessment;; 5: interpolation in time;;;;;;
Top of Atmosphere (W/m2);Irradiance averaged over the period at the top of the atmosphere;;;;;;;;;;
Clear-Sky (W/m2);Typical irradiance averaged over the period if the sky were clear;;;;;;;;;;
Irradiation (Wh/m2);Irradiation over the period (-999 if no data);;;;;;;;;;
;;;;;;;;;;;
Year;Month;Day;Time;Irradiance;Irradiance;Lower bound;Upper bound;Code;Top of Atmosphere;Clear-Sky;Irradiation
2024.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;1.0;3.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;1.0;4.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;1.0;5.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;1.0;6.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;1.0;7.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;1.0;8.0;60.1;60.1;51.1;69.1;2.0;295.3;77.0;60.1
2024.0;1.0;1.0;9.0;325.5;325.5;276.7;374.3;2.0;608.0;313.3;325.5
2024.0;1.0;1.0;10.0;419.9;419.9;356.9;482.9;2.0;876.4;553.0;419.9
2024.0;1.0;1.0;11.0;749.9;749.9;637.4;862.5;2.0;1082.4;745.5;749.9
2024.0;1.0;1.0;12.0;707.5;707.5;601.4;813.7;2.0;1211.9;868.8;707.5
2024.0;1.0;1.0;13.0;734.2;734.2;624.1;844.3;2.0;1256.1;911.0;734.2
2024.0;1.0;1.0;14.0;875.7;875.7;744.3;1007.0;2.0;1211.9;868.8;875.7
2024.0;1.0;1.0;15.0;687.7;687.7;584.6;790.9;2.0;1082.4;745.5;687.7
2024.0;1.0;1.0;16.0;570.1;570.1;484.6;655.7;2.0;876.4;553.0;570.1
2024.0;1.0;1.0;17.0;259.5;259.5;220.6;298.5;2.0;608.0;313.3;259.5
2024.0;1.0;1.0;18.0;65.6;65.6;55.8;75.4;2.0;295.3;77.0;65.6
2024.0;1.0;1.0;19.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;1.0;20.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;1.0;21.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;1.0;22.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;1.0;23.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;1.0;24.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;2.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;2.0;3.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;2.0;4.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;2.0;5.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;2.0;6.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;2.0;7.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;2.0;8.0;65.5;65.5;55.7;75.3;2.0;295.6;77.2;65.5
2024.0;1.0;2.0;9.0;324.5;324.5;275.8;373.2;2.0;608.5;313.7;324.5
2024.0;1.0;2.0;10.0;463.1;463.1;393.7;532.5;2.0;877.1;553.6;463.1
2024.0;1.0;2.0;11.0;573.5;573.5;487.4;659.6;2.0;1083.2;746.2;573.5
2024.0;1.0;2.0;12.0;786.4;786.4;668.5;904.4;2.0;1212.8;869.6;786.4
2024.0;1.0;2.0;13.0;904.6;904.6;769.0;1040.3;2.0;1257.0;911.8;904.6
2024.0;1.0;2.0;14.0;923.5;923.5;785.0;1062.0;2.0;1212.8;869.6;923.5
2024.0;1.0;2.0;15.0;657.3;657.3;558.7;755.8;2.0;1083.2;746.2;657.3
2024.0;1.0;2.0;16.0;516.6;516.6;439.1;594.1;2.0;877.1;553.6;516.6
2024.0;1.0;2.0;17.0;278.6;278.6;236.9;320.4;2.0;608.5;313.7;278.6
2024.0;1.0;2.0;18.0;64.7;64.7;55.0;74.3;2.0;295.6;77.2;64.7
2024.0;1.0;2.0;19.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;2.0;20.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;2.0;21.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;2.0;22.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;2.0;23.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2024.0;1.0;2.0;24.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
