Temperature Data for Maldives (derived from WMO normals and GSA data);;;;;;;
;;;;
Provider;Generated from WMO Climate Normals 1981-2010;;;;;;;;;;
More information at;https://www.wmo.int;;;;;;;;;;
Site latitude (positive means North);4.1753;;;;;;;;;;
Site longitude (positive means East);73.5089;;;;;;;;;;
Elevation (m);2;;;;;;;;;;
Climate;Tropical Maritime;;;;;;;;;;
Date beginning;2024-01-01;;;;;;;;;;
Date end;2024-12-31;;;;;;;;;;
Time reference (decimal hour);TU;;;;;;;;;;
Summarization (period of integration);Hour (h);;;;;;;;;;
Date - Instant;The date or instant given for each value corresponds to the end of the summarization;;;;;;;;;;
Temperature (deg C);Temperature averaged over the period (-999 if no data);;;;;;;;;
Lower bound (deg C);Uncertainty in temperature. Lower bound;;;;;;;;;;
Upper bound (deg C);Uncertainty in temperature. Upper bound;;;;;;;;;;
Code;0: no data; 1: night; 2: day;; 5: interpolation in time;;;;;;
Dew Point (deg C);Dew point temperature;;;;;;;;;;
Humidity (%);Relative humidity;;;;;;;;;;
Wind Speed (m/s);Wind speed at 10m height;;;;;;;;;;
;;;;;;;;;;;
Year;Month;Day;Time;Temperature;Temperature;Lower bound;Upper bound;Code;Dew Point;Humidity;Wind Speed
2024.0;1.0;1.0;1.0;26.15;26.15;25.15;27.15;2;22.1;80;4.5
2024.0;1.0;1.0;2.0;26.49;26.49;25.49;27.49;2;22.5;80;4.5
2024.0;1.0;1.0;3.0;27.14;27.14;26.14;28.14;2;23.1;80;4.5
2024.0;1.0;1.0;4.0;26.66;26.66;25.66;27.66;2;22.7;80;4.5
2024.0;1.0;1.0;5.0;26.47;26.47;25.47;27.47;2;22.5;80;4.5
2024.0;1.0;1.0;6.0;26.69;26.69;25.69;27.69;2;22.7;80;4.5
2024.0;1.0;1.0;7.0;26.84;26.84;25.84;27.84;2;22.8;80;4.5
2024.0;1.0;1.0;8.0;28.22;28.22;27.22;29.22;2;24.2;80;4.5
2024.0;1.0;1.0;9.0;28.35;28.35;27.35;29.35;2;24.4;80;4.5
2024.0;1.0;1.0;10.0;29.06;29.06;28.06;30.06;2;25.1;80;4.5
2024.0;1.0;1.0;11.0;29.84;29.84;28.84;30.84;2;25.8;80;4.5
2024.0;1.0;1.0;12.0;28.93;28.93;27.93;29.93;2;24.9;80;4.5
2024.0;1.0;1.0;13.0;28.95;28.95;27.95;29.95;2;24.9;80;4.5
2024.0;1.0;1.0;14.0;30.74;30.74;29.74;31.74;2;26.7;80;4.5
2024.0;1.0;1.0;15.0;30.9;30.9;29.90;31.90;2;26.9;80;4.5
2024.0;1.0;1.0;16.0;29.97;29.97;28.97;30.97;2;26.0;80;4.5
2024.0;1.0;1.0;17.0;30.84;30.84;29.84;31.84;2;26.8;80;4.5
2024.0;1.0;1.0;18.0;29.94;29.94;28.94;30.94;2;25.9;80;4.5
2024.0;1.0;1.0;19.0;29.92;29.92;28.92;30.92;2;25.9;80;4.5
2024.0;1.0;1.0;20.0;28.27;28.27;27.27;29.27;2;24.3;80;4.5
2024.0;1.0;1.0;21.0;28.34;28.34;27.34;29.34;2;24.3;80;4.5
2024.0;1.0;1.0;22.0;27.81;27.81;26.81;28.81;2;23.8;80;4.5
2024.0;1.0;1.0;23.0;27.09;27.09;26.09;28.09;2;23.1;80;4.5
2024.0;1.0;1.0;24.0;27.45;27.45;26.45;28.45;2;23.4;80;4.5
2024.0;1.0;2.0;1.0;26.51;26.51;25.51;27.51;2;22.5;80;4.5
2024.0;1.0;2.0;2.0;26.21;26.21;25.21;27.21;2;22.2;80;4.5
2024.0;1.0;2.0;3.0;26.06;26.06;25.06;27.06;2;22.1;80;4.5
2024.0;1.0;2.0;4.0;26.22;26.22;25.22;27.22;2;22.2;80;4.5
2024.0;1.0;2.0;5.0;26.47;26.47;25.47;27.47;2;22.5;80;4.5
2024.0;1.0;2.0;6.0;25.51;25.51;24.51;26.51;2;21.5;80;4.5
2024.0;1.0;2.0;7.0;27.21;27.21;26.21;28.21;2;23.2;80;4.5
2024.0;1.0;2.0;8.0;27.74;27.74;26.74;28.74;2;23.7;80;4.5
2024.0;1.0;2.0;9.0;28.83;28.83;27.83;29.83;2;24.8;80;4.5
2024.0;1.0;2.0;10.0;29.61;29.61;28.61;30.61;2;25.6;80;4.5
2024.0;1.0;2.0;11.0;30.14;30.14;29.14;31.14;2;26.1;80;4.5
2024.0;1.0;2.0;12.0;30.14;30.14;29.14;31.14;2;26.1;80;4.5
2024.0;1.0;2.0;13.0;30.7;30.7;29.70;31.70;2;26.7;80;4.5
2024.0;1.0;2.0;14.0;29.45;29.45;28.45;30.45;2;25.4;80;4.5
2024.0;1.0;2.0;15.0;30.17;30.17;29.17;31.17;2;26.2;80;4.5
2024.0;1.0;2.0;16.0;30.16;30.16;29.16;31.16;2;26.2;80;4.5
2024.0;1.0;2.0;17.0;30.14;30.14;29.14;31.14;2;26.1;80;4.5
2024.0;1.0;2.0;18.0;29.33;29.33;28.33;30.33;2;25.3;80;4.5
2024.0;1.0;2.0;19.0;28.86;28.86;27.86;29.86;2;24.9;80;4.5
2024.0;1.0;2.0;20.0;28.69;28.69;27.69;29.69;2;24.7;80;4.5
2024.0;1.0;2.0;21.0;27.85;27.85;26.85;28.85;2;23.9;80;4.5
2024.0;1.0;2.0;22.0;27.4;27.4;26.40;28.40;2;23.4;80;4.5
2024.0;1.0;2.0;23.0;27.41;27.41;26.41;28.41;2;23.4;80;4.5
2024.0;1.0;2.0;24.0;26.63;26.63;25.63;27.63;2;22.6;80;4.5
2024.0;1.0;3.0;1.0;26.72;26.72;25.72;27.72;2;22.7;80;4.5
2024.0;1.0;3.0;2.0;26.77;26.77;25.77;27.77;2;22.8;80;4.5
2024.0;1.0;3.0;3.0;26.8;26.8;25.80;27.80;2;22.8;80;4.5
2024.0;1.0;3.0;4.0;27.48;27.48;26.48;28.48;2;23.5;80;4.5
2024.0;1.0;3.0;5.0;27.33;27.33;26.33;28.33;2;23.3;80;4.5
2024.0;1.0;3.0;6.0;27.62;27.62;26.62;28.62;2;23.6;80;4.5
2024.0;1.0;3.0;7.0;27.72;27.72;26.72;28.72;2;23.7;80;4.5
2024.0;1.0;3.0;8.0;27.94;27.94;26.94;28.94;2;23.9;80;4.5
2024.0;1.0;3.0;9.0;28.32;28.32;27.32;29.32;2;24.3;80;4.5
2024.0;1.0;3.0;10.0;28.79;28.79;27.79;29.79;2;24.8;80;4.5
2024.0;1.0;3.0;11.0;29.15;29.15;28.15;30.15;2;25.1;80;4.5
2024.0;1.0;3.0;12.0;29.19;29.19;28.19;30.19;2;25.2;80;4.5
2024.0;1.0;3.0;13.0;30.66;30.66;29.66;31.66;2;26.7;80;4.5
2024.0;1.0;3.0;14.0;30.83;30.83;29.83;31.83;2;26.8;80;4.5
2024.0;1.0;3.0;15.0;30.31;30.31;29.31;31.31;2;26.3;80;4.5
2024.0;1.0;3.0;16.0;30.28;30.28;29.28;31.28;2;26.3;80;4.5
2024.0;1.0;3.0;17.0;30.64;30.64;29.64;31.64;2;26.6;80;4.5
2024.0;1.0;3.0;18.0;29.26;29.26;28.26;30.26;2;25.3;80;4.5
2024.0;1.0;3.0;19.0;29.12;29.12;28.12;30.12;2;25.1;80;4.5
2024.0;1.0;3.0;20.0;28.62;28.62;27.62;29.62;2;24.6;80;4.5
2024.0;1.0;3.0;21.0;28.93;28.93;27.93;29.93;2;24.9;80;4.5
2024.0;1.0;3.0;22.0;27.92;27.92;26.92;28.92;2;23.9;80;4.5
2024.0;1.0;3.0;23.0;27.15;27.15;26.15;28.15;2;23.1;80;4.5
2024.0;1.0;3.0;24.0;27.7;27.7;26.70;28.70;2;23.7;80;4.5
2024.0;1.0;4.0;1.0;26.25;26.25;25.25;27.25;2;22.2;80;4.5
2024.0;1.0;4.0;2.0;26.93;26.93;25.93;27.93;2;22.9;80;4.5
2024.0;1.0;4.0;3.0;26.65;26.65;25.65;27.65;2;22.6;80;4.5
2024.0;1.0;4.0;4.0;26.77;26.77;25.77;27.77;2;22.8;80;4.5
2024.0;1.0;4.0;5.0;27.02;27.02;26.02;28.02;2;23.0;80;4.5
