X_deg,Y_deg,Pop,Elevation,LandCover,NightLights,Slope,GHI,SolarRestriction,TravelHours,WindVel,SubstationDist,RoadDist,GridDistCurrent,GridDistPlan,Hydropower,HydropowerFID,HydropowerDist,X,Y,Country,VIIRS,Island_Name,Atoll,GHI_GSA,DNI_GSA,PVOUT_GSA,TEMP_GSA,GHI_annual,RoadDistClassified,SubstationDistClassified,LandCoverClassified,ElevationClassified,SlopeClassified,GridClassification,GridPenalty,WindCF,PopStartCalibrated,IsUrban,PopFuture,ElecStart,NewConnections,EducationDemand,HealthDemand,New_Connections_Prod,EnergyPerHH,NumPeoplePerHH,MG_Hydro,MG_PV,MG_Wind,MG_Diesel,SA_Diesel,SA_PV,MG_Hybrid,MinimumOffgrid,MinimumTechLCOE,ElecFuture,Grid,MinGridDist,MinimumOverall,MinimumOverallLCOE,MinimumOverallCode,MinimumCategory,NewCapacity,InvestmentCost
73.067,-0.696,4291,1.4,7,16,0.3,2015,1,8.3,4.5,3.0,0.4,0.0,0.0,0,0,999,306000,-77000,Maldives,16.0,Feydhoo,Addu,5.590360156504728,4.374202201163162,4.386636339356849,29.165979385375977,2040.4814571242248,5,3,5,5,5,4.82,1.247130848380016,0.0525341155206038,6640.492552208794,0,6642.601119022543,1,146.95526478021384,0,0,146.95526478021384,880.0,5.5,99,0.875499652139634,99.0,0.5153340614125911,0.9709133233517622,0.2122470719183924,99,SA_PV,0.2122470719183924,1,0.01,0.0,Grid,0.01,1.0,Grid,6.100260057294057,58906.20065878884
73.104,-0.687,3943,1.5,7,18,0.3,2041,1,8.2,4.5,2.0,0.3,0.0,0.0,0,0,999,310000,-76000,Maldives,18.0,Maradhoo,Addu,5.592790603637695,4.378914833068848,4.388545036315918,29.1666316986084,2041.3685703277588,5,3,5,5,5,4.82,1.247130848380016,0.0525341155206038,6101.948760978624,0,6103.886323072917,1,135.03719623127108,0,0,135.03719623127108,880.0,5.5,99,0.8706475758295158,99.0,0.520475603318306,0.9672262110945623,0.20954328756274415,99,SA_PV,0.20954328756274415,1,0.01,0.0,Grid,0.01,1.0,Grid,5.605529108811585,55475.26735349225
73.058,-0.684,3074,1.3,7,14,0.2,2015,1,8.4,4.5,4.0,0.3,0.0,0.0,0,0,999,305000,-75600,Maldives,14.0,Hulhumeedhoo,Addu,5.589480089966824,4.372487576460447,4.385948814171659,29.166044678813385,2040.1602328378904,5,3,5,5,5,4.82,1.247130848380016,0.0525341155206038,4757.13682253317,0,4758.647364221695,1,105.2762721823301,0,0,105.2762721823301,880.0,5.5,99,0.8953907441964916,99.0,0.5377190556002682,0.9746004356089618,0.2122470719183925,99,SA_PV,0.2122470719183925,1,0.01,0.0,Grid,0.01,1.0,Grid,4.370123378261939,46609.32315399008
73.158,-0.633,13745,1.8,7,25,0.4,2033,1,8.0,4.5,0.5,0.2,0.0,0.0,0,0,999,316000,-70000,Maldives,25.0,Hithadhoo,Addu,5.5703229904174805,4.336953163146973,4.3702826499938965,29.16874885559082,2033.1678915023804,5,5,5,5,5,5.0,1.2896410004739702,0.0525341155206038,21270.93221396175,0,21277.686408987374,1,470.7294603598312,0,0,470.7294603598312,880.0,5.5,99,0.820472774013007,99.0,0.46082069797921826,0.9598519865801632,0.2103678553445946,99,SA_PV,0.2103678553445946,1,0.01,0.0,Grid,0.01,1.0,Grid,19.54045082440146,140745.2791358988
73.425,-0.1867,14200,2.4,7,22,0.3,2005,1,7.5,4.6,0.0,0.2,0.0,0.0,0,0,999,345000,-20600,Maldives,22.0,Fuvahmulah,Gnaviyani,5.58108143131086,4.34349436149186,4.38548852047563,29.13940417522972,2037.094722428464,5,5,5,4,5,4.8500000000000005,1.253771999831215,0.0571717577779933,21975.062745598894,0,21982.04052438129,1,486.3119925143401,0,0,486.3119925143401,880.0,5.5,99,0.8298998929717193,99.0,0.4589619988611328,0.941416425294165,0.21330566080576602,99,SA_PV,0.21330566080576602,1,0.01,0.0,Grid,0.01,1.0,Grid,20.187297323135745,144391.3818788417
73.042,0.512,1045,1.5,7,3,0.3,2037,1,6.2,4.7,4.0,0.4,0.0,0.0,0,0,999,303500,56600,Maldives,3.0,Dhaandhoo,Gaafu_Alif,5.581790447235107,4.350637435913086,4.38737154006958,29.158920288085938,2037.3535132408144,5,3,5,5,5,4.82,1.247130848380016,0.0619867814827435,1617.1789133204825,0,1617.6924188717214,1,35.788452970245544,0,0,35.788452970245544,880.0,5.5,99,0.9798668358058641,99.0,0.6379184991547886,0.8934839659505691,0.20995476186330927,99,SA_PV,0.20995476186330927,1,0.01,0.0,Grid,0.01,1.0,Grid,1.4856144861040077,22942.363486633647
73.006,0.531,7487,1.3,7,15,0.2,2037,1,6.0,4.8,0.5,0.3,0.0,0.0,0,0,999,299000,58700,Maldives,15.0,Thinadhoo,Gaafu_Dhaalu,5.581864356994629,4.343631267547607,4.392629146575928,28.866607666015625,2037.38049030304,5,5,5,5,5,5.0,1.2896410004739702,0.0669728244771309,11586.429209598518,0,11590.108268031176,1,256.409710419357,0,0,256.409710419357,880.0,5.5,99,0.8407441035728219,99.0,0.48210505408970017,0.8861097414361697,0.20995476186330922,99,SA_PV,0.20995476186330922,1,0.01,0.0,Grid,0.01,1.0,Grid,10.643823595656164,88401.90269638086
73.078,0.578,1307,1.4,7,4,0.3,2040,1,6.3,4.7,2.0,0.4,0.0,0.0,0,0,999,307000,63900,Maldives,4.0,Gemanafushi,Gaafu_Alif,5.588245391845703,4.367243766784668,4.392599582672119,29.16110610961914,2039.7095680236816,5,3,5,5,5,4.82,1.247130848380016,0.0619867814827435,2022.6342963730815,0,2023.2765468567843,1,44.761251705369205,0,0,44.761251705369205,880.0,5.5,99,0.9552675915995043,99.0,0.6117956185290901,0.8971710782077688,0.20964600486056909,99,SA_PV,0.20964600486056909,1,0.01,0.0,Grid,0.01,1.0,Grid,1.8580843381224241,26330.82500275342
73.029,0.617,2906,1.4,7,8,0.2,2044,1,6.5,4.7,1.0,0.3,0.0,0.0,0,0,999,301500,68200,Maldives,8.0,Villingili,Gaafu_Alif,5.598893642425537,4.396463394165039,4.400173187255859,29.16122055053711,2043.596179485321,5,4,5,5,5,4.91,1.2675733140294807,0.0619867814827435,4497.150164697916,0,4498.578152383945,1,99.52272184835692,0,0,99.52272184835692,880.0,5.5,99,0.8884043538383072,99.0,0.5389827154396283,0.9045453027221679,0.20923573870624307,99,SA_PV,0.20923573870624307,1,0.01,0.0,Grid,0.01,1.0,Grid,4.131287747960021,44835.52126308751
73.035,0.688,1197,1.3,7,3,0.2,2017,1,6.4,4.8,3.0,0.3,0.0,0.0,0,0,999,302500,76100,Maldives,3.0,Maamendhoo,Gaafu_Alif,5.59281814197336,4.378635772556301,4.396404259508016,29.127548609152697,2041.378621820276,5,3,5,5,5,4.82,1.247130848380016,0.0669728244771309,1852.4049370761888,0,1852.993134343972,1,40.994046129554135,0,0,40.994046129554135,880.0,5.5,99,0.9726681815797031,99.0,0.6219220797894315,0.9008581904649683,0.2120366137409821,99,SA_PV,0.2120366137409821,1,0.01,0.0,Grid,0.01,1.0,Grid,1.7017038659009602,24885.216213990152
73.04,1.543,4815,1.1,7,10,0.2,2002,1,5.2,4.9,2.0,0.3,0.0,0.0,0,0,999,303000,170700,Maldives,10.0,Gan_Laamu,Laamu,5.579577927004196,4.3019024376973904,4.394790988480282,29.14490812430537,2036.545943356532,5,3,5,5,5,4.82,1.247130848380016,0.0721231643194532,7451.403318313993,0,7453.769374992668,1,164.9008622504616,0,0,164.9008622504616,880.0,5.5,99,0.8742506584270016,99.0,0.5038066350253837,0.8566128433785724,0.2136252996581224,99,SA_PV,0.2136252996581224,1,0.01,0.0,Grid,0.01,1.0,Grid,6.845199761330909,63968.89520487166
