,Maldives
population_Grid,614589.1200956427
population_SA_Diesel,0.0
population_SA_PV,0.0
population_MG_Wind,0.0
population_MG_Diesel,0.0
population_MG_PV,0.0
population_MG_Hydro,0.0
population_MG_Hybrid,0.0
new_connections_Grid,96173.2250956426
new_connections_SA_Diesel,0.0
new_connections_SA_PV,0.0
new_connections_MG_Wind,0.0
new_connections_MG_Diesel,0.0
new_connections_MG_PV,0.0
new_connections_MG_Hydro,0.0
new_connections_MG_Hybrid,0.0
capacity_Grid,10088.904714240614
capacity_SA_Diesel,0.0
capacity_SA_PV,0.0
capacity_MG_Wind,0.0
capacity_MG_Diesel,0.0
capacity_MG_PV,0.0
capacity_MG_Hydro,0.0
capacity_MG_Hybrid,0.0
investment_Grid,38903731.085574314
investment_SA_Diesel,0.0
investment_SA_PV,0.0
investment_MG_Wind,0.0
investment_MG_Diesel,0.0
investment_MG_PV,0.0
investment_MG_Hydro,0.0
investment_MG_Hybrid,0.0
